Rank,Name,Platform,Genre,Publisher,EU_Sales,JP_Sales,Other_Sales,Global_Sales
7656,Grandia II,DC,Role-Playing,Ubisoft,0.0,0.2,0.0,0.2
7957,Penguin no Mondai X: Tenkuu no 7 Senshi,DS,Action,Konami Digital Entertainment,0.0,0.19,0.0,0.19
3083,New Play Control! Pikmin,Wii,Strategy,Nintendo,0.14,0.19,0.04,0.66
7792,Jikkyou J-League Perfect Striker,N64,Sports,Konami Digital Entertainment,0.0,0.19,0.0,0.19
3469,International Superstar Soccer '98,N64,Sports,Konami Digital Entertainment,0.3,0.19,0.03,0.58
394,Crash Bash,PS,Misc,Sony Computer Entertainment,1.47,0.19,0.17,3.39
7909,Princess Maker: Yumemiru Yosei,PS,Strategy,Sony Computer Entertainment,0.0,0.18,0.01,0.19
8338,Mahjong Fight Club,PSP,Misc,Konami Digital Entertainment,0.0,0.17,0.0,0.17
387,Battlefield 4,PS4,Shooter,Electronic Arts,1.54,0.17,0.38,3.43
8256,Kekkaishi: Karasumori Ayakashi Kidan,DS,Action,Namco Bandai Games,0.0,0.17,0.0,0.17
8698,Toriko: Gourmet Monsters!,3DS,Role-Playing,Namco Bandai Games,0.0,0.16,0.0,0.16
8531,Otogirisou,SNES,Adventure,ChunSoft,0.0,0.16,0.0,0.16
9050,Kenka Banchou 5: Otoko no Housoku,PSP,Action,Spike,0.0,0.14,0.0,0.14
8892,Winning Post 4,PS,Sports,Tecmo Koei,0.0,0.14,0.01,0.15
9004,Tennis no Oji-Sama: Aim at The Victory!,GBA,Sports,Konami Digital Entertainment,0.0,0.14,0.0,0.14
1028,Overwatch,PS4,Shooter,Activision,0.68,0.14,0.26,1.73
3439,Mega Man X7,PS2,Action,Capcom,0.17,0.14,0.06,0.58
5304,Dragon Ball Z: Budokai Tenkaichi 2 (JP sales),Wii,Action,Ужас,0.05,0.14,0.01,0.35
9459,The IdolM@ster: One for All,PS3,Misc,Namco Bandai Games,0.0,0.13,0.0,0.13
1025,Uncharted: Golden Abyss,PSV,Shooter,Sony Computer Entertainment,0.75,0.13,0.27,1.74
9478,Grand Knights History,PSP,Role-Playing,Marvelous Interactive,0.0,0.13,0.0,0.13
9844,Sonic Adventure 2,DC,Platform,Sega,0.0,0.12,0.0,0.12
6311,Rhythm Thief & the Emperor's Treasure,3DS,Misc,Sega,0.07,0.12,0.01,0.27
9590,Derby Stallion Advance,GBA,Sports,Enterbrain,0.0,0.12,0.0,0.13
2458,Devil May Cry HD Collection,PS3,Action,Capcom,0.21,0.11,0.1,0.84
10025,Final Fantasy III,PSP,Role-Playing,Square Enix,0.0,0.11,0.0,0.11
10305,Irozuki Tingle no Koi no Balloon Trip,DS,Adventure,Nintendo,0.0,0.11,0.0,0.11
10249,Sakura Taisen Hanagumi Tsuushin,SAT,Misc,Sega,0.0,0.11,0.0,0.11
10311,Final Fantasy I & II,NES,Role-Playing,Square,0.0,0.11,0.0,0.11
10485,Momotarou Dentetsu 16,Wii,Misc,Hudson Soft,0.0,0.1,0.0,0.1
8166,K-1 World Grand Prix,PS2,Sports,Konami Digital Entertainment,0.03,0.1,0.01,0.18
10471,Mickey's Speedway USA (weekly JP sales),N64,Racing,Nintendo,0.0,0.1,0.0,0.1
9782,Shin Megami Tensei: Devil Survivor 2,3DS,Role-Playing,Atlus,0.03,0.09,0.0,0.12
10340,Goal Storm '97,PS,Sports,Konami Digital Entertainment,0.0,0.09,0.01,0.11
10990,Sound Novel Machi,SAT,Adventure,ChunSoft,0.0,0.09,0.0,0.09
11393,Meitantei Conan & Kindaichi Shounen no Jikenbou: Meguri au Futari no Meitantei,DS,Adventure,Namco Bandai Games,0.0,0.08,0.0,0.08
11287,RockMan EXE 4.5 Real Operation,GBA,Role-Playing,Capcom,0.0,0.08,0.0,0.08
7389,Senran Kagura 2: Deep Crimson,3DS,Action,Marvelous Entertainment,0.03,0.08,0.01,0.21
11526,Sentimental Graffiti: First Window,SAT,Adventure,NEC Interchannel,0.0,0.08,0.0,0.08
11615,Bleach: Heat the Soul 7,PSP,Fighting,Sony Computer Entertainment,0.0,0.08,0.0,0.08
11430,Nobunaga's Ambition: Rise to Power,PS2,Strategy,Tecmo Koei,0.0,0.08,0.0,0.08
11537,Bleach: Erabareshi Tamashii,PS2,Adventure,Sony Computer Entertainment,0.0,0.08,0.0,0.08
11384,God Eater Resurrection,PS4,Action,Namco Bandai Games,0.0,0.08,0.0,0.08
11539,Sengoku Musou 3: Moushouden,Wii,Action,Ackkstudios,0.0,0.08,0.0,0.08
9305,Guilty Gear,PS,Fighting,Virgin Interactive,0.02,0.07,0.01,0.14
11899,J Legend Retsuden,3DS,Misc,Namco Bandai Games,0.0,0.07,0.0,0.07
4034,Sonic Lost World,3DS,Platform,Sega,0.15,0.07,0.03,0.49
2700,SoulCalibur V,PS3,Fighting,Namco Bandai Games,0.24,0.07,0.1,0.76
12012,Point Blank DS (JP sales),DS,Shooter,Atari,0.0,0.07,0.0,0.07
12154,Kanji Sonomama DS Rakubiki Jiten,DS,Misc,Nintendo,0.0,0.07,0.0,0.07
10494,G1 Jockey 3,PS2,Sports,THQ,0.01,0.07,0.0,0.1
12026,IA/VT Colorful,PSV,Misc,Marvelous Entertainment,0.0,0.07,0.0,0.07
12211,Yoake Yori Ruriiro na: Brighter than Dawning Blue,PS2,Adventure,Aria,0.0,0.07,0.0,0.07
12408,Densha De Go! 3 Tsuukinhen,PS2,Simulation,Taito,0.0,0.06,0.0,0.06
12295,Pop'n Music Portable 2,PSP,Misc,Konami Digital Entertainment,0.0,0.06,0.0,0.06
12299,Naruto: Ultimate Ninja Heroes (JP sales),PSP,Fighting,Namco Bandai Games,0.0,0.06,0.0,0.06
12444,KimiKiss,PS2,Adventure,Enterbrain,0.0,0.06,0.0,0.06
12563,PachiPara 13: Super Umi no Pachi-Pro Fuuunroku,PS2,Misc,Irem Software Engineering,0.0,0.06,0.0,0.06
12441,Kekkon: Marriage,SAT,Adventure,Shogakukan,0.0,0.06,0.0,0.06
7484,Anarchy Reigns,PS3,Action,Sega,0.03,0.06,0.02,0.21
12765,Toaru Kagaku no Chou Denjihou,PSP,Adventure,Kadokawa Shoten,0.0,0.06,0.0,0.06
7270,Shin Megami Tensei x Fire Emblem,WiiU,Role-Playing,Nintendo,0.04,0.06,0.01,0.22
9920,MegaTagmension Blanc + Neptune VS Zombies,PSV,Action,Idea Factory International,0.03,0.05,0.01,0.12
6040,Dead Rising: Chop Till You Drop,Wii,Action,Capcom,0.07,0.05,0.02,0.29
13275,Detective Conan: Marionette Symphony,3DS,Adventure,Namco Bandai Games,0.0,0.05,0.0,0.05
7619,Magical Tetris Challenge,N64,Puzzle,Activision,0.02,0.05,0.0,0.2
12935,Chaos;Child,PSV,Adventure,5pb,0.0,0.05,0.0,0.05
13096,Rave Master,GC,Fighting,Konami Digital Entertainment,0.0,0.05,0.0,0.05
13319,Star Driver: Kagayaki no Takuto - Ginga Bishounen Densetsu,PSP,Adventure,Namco Bandai Games,0.0,0.05,0.0,0.05
13216,D.Gray-man: Kami no Shitotachi,DS,Adventure,Konami Digital Entertainment,0.0,0.05,0.0,0.05
9839,Gungnir: Mayari no Gunshin to Eiyuu Sensou,PSP,Role-Playing,Atlus,0.0,0.04,0.01,0.12
13698,Banushi Life Game: Winner's Circle,DS,Sports,Genki,0.0,0.04,0.0,0.04
13500,Shin Fortune Quest: Sokutaku no Kishi,PS,Misc,Media Works,0.0,0.04,0.0,0.04
587,Harry Potter and the Chamber of Secrets,PS2,Action,Electronic Arts,1.22,0.04,0.44,2.61
380,Battlefield: Bad Company 2,X360,Shooter,Electronic Arts,1.02,0.04,0.32,3.48
13613,FIFA Soccer 2003 (weekly jp sales),PS2,Sports,Electronic Arts,0.0,0.04,0.0,0.04
13626,Amagami,PSV,Adventure,Kadokawa Games,0.0,0.04,0.0,0.04
1059,SOCOM 3: U.S. Navy SEALs,PS2,Shooter,Sony Computer Entertainment,0.34,0.04,0.1,1.69
13460,Sotsugyou II: Neo Generation,PS,Simulation,Riverhillsoft,0.0,0.04,0.0,0.04
13875,Gundam Battle Online,DC,Action,Namco Bandai Games,0.0,0.04,0.0,0.04
4537,Castlevania: Portrait of Ruin,DS,Platform,Konami Digital Entertainment,0.03,0.04,0.03,0.43
14098,Detective Conan: Prelude from the Past,PSP,Action,Namco Bandai Games,0.0,0.04,0.0,0.04
845,Forza Horizon,X360,Racing,Microsoft Game Studios,0.98,0.04,0.18,2.02
13942,Aquanaut's Holiday: Kakusareta Kiroku,PS3,Adventure,Sony Computer Entertainment,0.0,0.04,0.0,0.04
13561,428: Fuusa Sareta Shibuya de,PSP,Adventure,Spike,0.0,0.04,0.0,0.04
9363,Hyperdimension Idol Neptunia PP,PSV,Misc,Namco Bandai Games,0.03,0.04,0.02,0.13
5553,NBA Live 96,PS,Sports,Electronic Arts,0.11,0.04,0.02,0.33
13828,Draglade (JP sales),DS,Fighting,505 Games,0.0,0.04,0.0,0.04
3548,Spec Ops: The Line,PS3,Shooter,Take-Two Interactive,0.25,0.04,0.09,0.57
13983,Doraemon: Shin Nobita no Nihon Tanjou,3DS,Misc,FuRyu,0.0,0.04,0.0,0.04
13547,Go Go Ackman 3,SNES,Platform,Banpresto,0.0,0.04,0.0,0.04
14453,Kaidan Restaurant: Zoku! Shin Menu 100-Sen,DS,Misc,Namco Bandai Games,0.0,0.03,0.0,0.03
3654,Tatsunoko vs. Capcom: Ultimate All-Stars,Wii,Fighting,Capcom,0.16,0.03,0.05,0.55
14665,Ganbare Goemon: Toukai Douchuu Ooedo Tengurigaeshi no Maki,DS,Action,Konami Digital Entertainment,0.0,0.03,0.0,0.03
4889,Dungeon Siege III,PS3,Role-Playing,Square Enix,0.14,0.03,0.06,0.39
14220,Pachitte Chonmage Tatsujin 12: Pachinko Ultraman,PS2,Misc,Hackberry,0.0,0.03,0.0,0.03
14467,Dennou Senki Virtual-On Force,X360,Fighting,Sega,0.0,0.03,0.0,0.03
10425,Contact,DS,Role-Playing,Rising Star Games,0.0,0.03,0.01,0.1
1621,Medal of Honor: Airborne,PS3,Shooter,Electronic Arts,0.7,0.03,0.25,1.23
14404,Kiniro no Corda 3,PS2,Adventure,Tecmo Koei,0.0,0.03,0.0,0.03
14153,Kekkaishi: Kokubourou no Kage,Wii,Action,Namco Bandai Games,0.0,0.03,0.0,0.03
3056,The LEGO Movie Videogame,WiiU,Action,Warner Bros. Interactive Entertainment,0.23,0.03,0.06,0.66
7337,Pro Evolution Soccer 2012,Wii,Action,Konami Digital Entertainment,0.08,0.03,0.02,0.21
14349,Hiiro no Kakera 2: Hisui no Shizuku,PS2,Adventure,Idea Factory,0.0,0.03,0.0,0.03
1137,Rage,X360,Shooter,Bethesda Softworks,0.61,0.03,0.15,1.62
14643,Ao no Kanata no Four Rhythm,PSV,Adventure,Unknown,0.0,0.03,0.0,0.03
14632,Hyakumanton no Bara Bara,PSP,Strategy,Sony Computer Entertainment,0.0,0.03,0.0,0.03
14859,Wand of Fortune 2: Jikuu ni Shizumu Mokushiroku,PSP,Adventure,Idea Factory,0.0,0.03,0.0,0.03
12804,Grand Kingdom,PS4,Role-Playing,Nippon Ichi Software,0.0,0.03,0.0,0.06
14582,Bladestorm: Nightmare,PS3,Action,Tecmo Koei,0.0,0.03,0.0,0.03
10569,KORG DS-10 Synthesizer Plus,DS,Misc,AQ Interactive,0.0,0.02,0.01,0.1
15109,D.Gray-man: Sousha no Shikaku,PS2,Adventure,Konami Digital Entertainment,0.0,0.02,0.0,0.02
7565,Le Mans 24 Hours,PS2,Racing,Infogrames,0.07,0.02,0.02,0.2
1714,WWE '12,PS3,Fighting,THQ,0.46,0.02,0.17,1.18
15466,Hana to Otome ni Shukufuku o: Harekaze no Okurimono,PS2,Adventure,Alchemist,0.0,0.02,0.0,0.02
15686,Machi: Unmei no Kousaten,PSP,Adventure,ChunSoft,0.0,0.02,0.0,0.02
15743,TV Anime Idolm@ster: Cinderella Girls G4U! Pack Vol.4,PS3,Action,Namco Bandai Games,0.0,0.02,0.0,0.02
2770,Final Fantasy XIII-2,X360,Role-Playing,Square Enix,0.3,0.02,0.06,0.74
1405,Titanfall,X360,Shooter,Electronic Arts,0.38,0.02,0.11,1.38
15188,Shippuu Mahou Daisakusen: Kingdom-Grandprix,SAT,Shooter,Gaga,0.0,0.02,0.0,0.02
15179,Eureka Seven Vol. 2: The New Vision,PS2,Shooter,Namco Bandai Games,0.0,0.02,0.0,0.02
15496,Otoko Yukaku,PSV,Action,D3Publisher,0.0,0.02,0.0,0.02
3828,GT Pro Series,Wii,Racing,Ubisoft,0.01,0.02,0.04,0.52
15558,Gon: BakuBakuBakuBaku Adventure,3DS,Action,Namco Bandai Games,0.0,0.02,0.0,0.02
743,Saints Row,X360,Action,THQ,0.78,0.02,0.22,2.19
15933,Harukanaru Toki no Naka de 6,PSP,Action,Tecmo Koei,0.0,0.02,0.0,0.02
15869,San Goku Shi DS 2,DS,Strategy,Tecmo Koei,0.0,0.02,0.0,0.02
15511,Hakuoki: Shinkai - Hana no Shou,PSV,Adventure,Idea Factory,0.0,0.02,0.0,0.02
15690,World Class Rugby 2: Kokunai Gekitou Hen '93,SNES,Sports,Misawa,0.0,0.02,0.0,0.02
15005,Canvas 2,PS2,Adventure,Kadokawa Shoten,0.0,0.02,0.0,0.02
15021,Kuusen II,PS2,Simulation,Kadokawa Shoten,0.0,0.02,0.0,0.02
8614,Shinobido 2: Tales of the Ninja,PSV,Action,Sony Computer Entertainment,0.05,0.02,0.03,0.16
2016,Sonic Unleashed,PS3,Platform,Sega,0.33,0.01,0.14,1.03
6192,Bionic Commando,X360,Platform,Capcom,0.12,0.01,0.03,0.28
1579,Brian Lara Cricket,PS,Sports,Codemasters,1.13,0.01,0.1,1.26
16438,Getsuei Gakuen: kou,PSV,Adventure,Arc System Works,0.0,0.01,0.0,0.01
3183,Middle-Earth: Shadow of Mordor,PS3,Action,Warner Bros. Interactive Entertainment,0.33,0.01,0.1,0.64
16468,Help Wanted: 50 Wacky Jobs (jp sales),Wii,Simulation,Hudson Soft,0.01,0.01,0.0,0.01
6442,NBA 07,PS3,Sports,Sony Computer Entertainment,0.0,0.01,0.02,0.26
3035,Castlevania: Lords of Shadow,X360,Action,Konami Digital Entertainment,0.18,0.01,0.05,0.67
1216,Disney Fairies: Tinker Bell,DS,Adventure,Disney Interactive Studios,0.52,0.01,0.15,1.54
2731,Rare Replay,XOne,Misc,Microsoft Game Studios,0.21,0.01,0.07,0.75
1586,Star Wars: The Force Unleashed,PS2,Action,LucasArts,0.0,0.01,0.75,1.25
12660,Warriors: Legends of Troy,X360,Action,Tecmo Koei,0.04,0.01,0.01,0.06
16092,Datenshi no Amai Yuuwaku x Kaikan Phrase,DS,Adventure,FuRyu,0.0,0.01,0.0,0.01
16087,The Legend of Heroes: Trails in the Sky Third Chapter,PS3,Role-Playing,Falcom Corporation,0.0,0.01,0.0,0.01
2351,Kingdoms of Amalur: Reckoning,X360,Role-Playing,Electronic Arts,0.25,0.01,0.07,0.89
16240,Hiiro no Kakera: Shin Tamayori Hime Denshou Portable,PSP,Adventure,Idea Factory,0.0,0.01,0.0,0.01
5554,Clash of the Titans,PS3,Action,Namco Bandai Games,0.16,0.01,0.06,0.33
1983,WWE SmackDown vs. Raw 2010,X360,Fighting,THQ,0.38,0.01,0.11,1.05
593,LittleBigPlanet,PSP,Platform,Sony Computer Entertainment,1.24,0.01,0.69,2.58
280,Madden NFL 2003,PS2,Sports,Electronic Arts,0.21,0.01,0.56,4.14
452,Madden NFL 2002,PS2,Sports,Electronic Arts,0.16,0.01,0.42,3.08
16119,Tears to Tiara: Kakan no Daichi Portable,PSP,Adventure,Aqua Plus,0.0,0.01,0.0,0.01
16128,Tantei Jinguuji Saburo DS: Fuserareta Shinjitsu,DS,Adventure,Arc System Works,0.0,0.01,0.0,0.01
566,Call Of Duty 2: Big Red One,PS2,Shooter,Activision,0.92,0.01,0.26,2.67
7788,Hidden Mysteries: Vampire Secrets,DS,Adventure,Astragon,0.11,0.0,0.02,0.19
10988,MX SuperFly featuring Ricky Carmichael,GC,Racing,THQ,0.02,0.0,0.0,0.09
1539,Midnight Club 3: DUB Edition (America weekly sales),PS2,Racing,Take-Two Interactive,0.05,0.0,0.01,1.29
11812,Still Life,XB,Adventure,Microids,0.02,0.0,0.0,0.07
2672,Need for Speed: Porsche Unleashed,PS,Racing,Electronic Arts,0.29,0.0,0.05,0.77
4704,Wolfenstein: The New Order,X360,Shooter,Bethesda Softworks,0.19,0.0,0.04,0.41
12043,Sprint Cars: Road to Knoxville,PS2,Racing,THQ,0.03,0.0,0.01,0.07
11159,My Stop Smoking Coach: Allen Carr's EasyWay,DS,Misc,Ubisoft,0.01,0.0,0.01,0.09
15651,Tail of the Sun,PS,Role-Playing,ArtDink,0.01,0.0,0.0,0.02
10039,FIFA Street 2,GC,Sports,Electronic Arts,0.02,0.0,0.0,0.11
14275,Best Friends Tonight,DS,Misc,Ubisoft,0.0,0.0,0.0,0.03
4591,Crash: Mind Over Mutant,DS,Platform,Vivendi Games,0.0,0.0,0.03,0.42
801,World of Warcraft: Cataclysm,PC,Role-Playing,Activision,0.32,0.0,0.0,2.08
7680,Taiko Drum Master,PS2,Misc,Namco Bandai Games,0.08,0.0,0.03,0.2
9491,TRON: Evolution,PSP,Action,Disney Interactive Studios,0.02,0.0,0.02,0.13
10826,Disney's Aladdin in Nasira's Revenge,PS,Action,Sony Computer Entertainment,0.04,0.0,0.01,0.09
5159,Rock Band 4,PS4,Misc,Harmonix Music Systems,0.05,0.0,0.07,0.37
5129,Dragonfire,2600,Action,Imagic,0.02,0.0,0.0,0.37
8504,Medieval Games,Wii,Action,Vir2L Studios,0.01,0.0,0.01,0.16
14781,GRID Autosport,PC,Racing,Codemasters,0.02,0.0,0.0,0.03
10462,Despicable Me: The Game,PS2,Platform,D3Publisher,0.04,0.0,0.01,0.1
3036,BioShock Infinite,PC,Shooter,Take-Two Interactive,0.3,0.0,0.08,0.67
10609,Van Helsing,GBA,Action,Activision,0.03,0.0,0.0,0.1
8771,The Terminator: Dawn of Fate,XB,Action,Atari,0.03,0.0,0.01,0.15
3375,NHL 11,PS3,Sports,Electronic Arts,0.13,0.0,0.07,0.6
10912,World Championship Poker 2: Featuring Howard Lederer,XB,Misc,Crave Entertainment,0.02,0.0,0.0,0.09
1410,Disney Princess: Enchanted Journey,Wii,Adventure,Disney Interactive Studios,0.04,0.0,0.09,1.38
8971,Dance Dance Revolution (North America),PS,Simulation,Konami Digital Entertainment,0.06,0.0,0.01,0.15
10817,NASCAR,PSP,Racing,Electronic Arts,0.0,0.0,0.01,0.1
15242,Discovery Kids: Snake Safari,DS,Simulation,505 Games,0.0,0.0,0.0,0.02
4437,Ben 10 Alien Force: Vilgax Attacks,Wii,Action,D3Publisher,0.15,0.0,0.04,0.44
7812,Mace Griffin: Bounty Hunter,PS2,Shooter,Electronic Arts,0.07,0.0,0.02,0.19
5137,Barbie Horse Adventures: Blue Ribbon Race,GBA,Sports,Knowledge Adventure,0.1,0.0,0.01,0.37
8729,"Warhammer 40,000: Fire Warrior",PS2,Shooter,THQ,0.06,0.0,0.02,0.15
7697,Backyard Hockey,GBA,Sports,Atari,0.05,0.0,0.0,0.2
13572,The Smurfs,PS,Action,Infogrames,0.02,0.0,0.0,0.04
7707,Warriors Orochi,X360,Action,Tecmo Koei,0.01,0.0,0.02,0.2
7413,ClayFighter 63 1/3,N64,Fighting,Interplay,0.04,0.0,0.0,0.21
2504,Casper,PS,Adventure,Interplay,0.31,0.0,0.05,0.83
14277,Living Legends: Frozen Beauty,PC,Action,Big Fish Games,0.03,0.0,0.0,0.03
9726,Angry Birds Star Wars,PSV,Strategy,Activision,0.04,0.0,0.03,0.12
7643,Total War: Shogun 2 - Fall of the Samurai,PC,Strategy,Sega,0.1,0.0,0.03,0.2
13370,Mafia,PC,Action,Take-Two Interactive,0.04,0.0,0.01,0.05
2104,Farming Simulator 2013,PC,Simulation,Focus Home Interactive,0.8,0.0,0.18,0.99
4836,Sherlock Holmes: The Mystery of the Mummy,DS,Adventure,Focus Home Interactive,0.3,0.0,0.04,0.4
9775,Lovely Lisa,DS,Simulation,DHM Interactive,0.0,0.0,0.01,0.12
9048,ArmA II,PC,Shooter,505 Games,0.12,0.0,0.03,0.14
6942,Dark Cavern,2600,Shooter,Mattel Interactive,0.01,0.0,0.0,0.24
4922,Need for Speed: Nitro,DS,Racing,Electronic Arts,0.13,0.0,0.04,0.39
15199,Knight's Apprentice: Memorick's Adventures,XB,Action,Microids,0.0,0.0,0.0,0.02
10061,"Sakura Wars: So Long, My Love",Wii,Role-Playing,Ackkstudios,0.04,0.0,0.01,0.11
1609,WWE SmackDown vs. Raw 2009,PS2,Fighting,THQ,0.0,0.0,0.55,1.24
14259,Earthworm Jim 2,GBA,Platform,Vivendi Games,0.01,0.0,0.0,0.03
1901,MySims Agents,DS,Adventure,Electronic Arts,0.43,0.0,0.11,1.08
3318,Split/Second,X360,Racing,Disney Interactive Studios,0.23,0.0,0.06,0.61
10727,The Land Before Time: Great Valley Racing Adventure,PS,Racing,TDK Mediactive,0.04,0.0,0.01,0.1
15525,WRC 2: FIA World Rally Championship,PC,Racing,Ubisoft,0.01,0.0,0.0,0.02
13396,Ford Bold Moves Street Racing,PSP,Racing,Xplosiv,0.0,0.0,0.0,0.05
8064,Cabela's Adventure Camp,Wii,Misc,Activision,0.02,0.0,0.01,0.18
677,Skylanders SWAP Force,Wii,Platform,Activision,0.83,0.0,0.2,2.34
7366,World Poker Tour,PS2,Misc,Take-Two Interactive,0.08,0.0,0.03,0.21
15446,NHL 09,PC,Sports,Electronic Arts,0.02,0.0,0.0,0.02
7159,Conflict: Vietnam,XB,Shooter,SCi,0.05,0.0,0.01,0.22
6253,NBA 2K12,PSP,Sports,Take-Two Interactive,0.03,0.0,0.03,0.28
3041,Rock Band 3,Wii,Misc,MTV Games,0.06,0.0,0.05,0.67
1104,NBA Ballers,PS2,Sports,Midway Games,0.63,0.0,0.21,1.66
3813,Batman: Arkham Origins Blackgate,PSV,Action,Warner Bros. Interactive Entertainment,0.2,0.0,0.13,0.53
10228,Pac-Man and the Ghostly Adventures 2,PS3,Adventure,Namco Bandai Games,0.04,0.0,0.02,0.11
15447,Spanish for Everyone!,DS,Puzzle,Activision,0.0,0.0,0.0,0.02
